feature,rank_xgb_gain,rank_xgb_weight,rank_shap,rank_permutation,rank_mutual_info,mean_rank,score_xgb_gain,score_xgb_weight,score_shap,score_permutation,score_mutual_info
monetary,4,1,2,1,3,2.2,28.346660614013672,742.0,0.9652952,0.03191741813004294,0.2658614233837131
purchase_regularity,1,9,1,2,4,3.4,344.1321105957031,177.0,1.0430521,0.015720678399504195,0.26004620253025923
frequency,2,8,3,4,1,3.6,129.39524841308594,228.0,0.65132535,0.00860784750540009,0.2772962688986196
recency,5,2,4,3,8,4.4,16.694664001464844,676.0,0.51387274,0.011423050473155727,0.137789509293335
n_months_active,3,11,5,6,2,5.4,84.6604995727539,86.0,0.26808915,0.0007264415020874937,0.27476368936614004
tenure,6,7,6,5,5,5.8,13.896438598632812,242.0,0.18600214,0.001295971639723903,0.23528632755403556
avg_days_between_orders,11,4,7,7,6,7.0,7.534677028656006,352.0,0.13028751,0.00045765814631522074,0.18173269403271175
n_unique_products,13,5,9,9,7,8.6,5.113984107971191,335.0,0.119765654,0.0,0.16555587302131403
avg_order_value,10,3,10,9,12,8.8,10.29050064086914,391.0,0.11332744,0.0,0.05656287181736408
avg_qty_per_order,12,6,8,9,10,9.0,7.060689449310303,324.0,0.120853804,0.0,0.0926114413653838
spend_trend_90d,7,10,12,9,9,9.4,13.336585998535156,109.0,0.04264158,0.0,0.12262125908634425
recent_freq_90d,8,12,11,8,11,10.0,12.100780487060547,52.0,0.04809799,0.00013172805904537732,0.0843774265096926
revenue_last_30d,9,13,13,9,13,11.4,11.160367965698242,49.0,0.027346019,0.0,0.04305545006475797
